ResourceID,card,source_value,Dimension Value,Dimension Type,Dimension Measurement Unit
39dc7318-2b09-5a7a-9b96-6be399d98963,e22_Dimensions,108 x 140 mm,108,hoogte,millimeters
39dc7318-2b09-5a7a-9b96-6be399d98963,e22_Dimensions,108 x 140 mm,140,breedte,millimeters
f664b0be-e2de-5c60-a369-b59445e5bc0e,e22_Dimensions,340 x 215 mm,340,hoogte,millimeters
f664b0be-e2de-5c60-a369-b59445e5bc0e,e22_Dimensions,340 x 215 mm,215,breedte,millimeters
b87bdabb-02a1-5d70-b4b6-36424dd65868,e22_Dimensions,137 x 189 mm,137,hoogte,millimeters
b87bdabb-02a1-5d70-b4b6-36424dd65868,e22_Dimensions,137 x 189 mm,189,breedte,millimeters
d8d85fc0-9e54-535d-856e-db378422ab52,e22_Dimensions,167 x 211 mm,167,hoogte,millimeters
d8d85fc0-9e54-535d-856e-db378422ab52,e22_Dimensions,167 x 211 mm,211,breedte,millimeters
acb05eb8-b42c-54e5-8ebe-ee2cce55dae0,e22_Dimensions,167 x 211 mm,167,hoogte,millimeters
acb05eb8-b42c-54e5-8ebe-ee2cce55dae0,e22_Dimensions,167 x 211 mm,211,breedte,millimeters
9710f729-049f-5d1a-a298-4ae1e56f1a9d,e22_Dimensions,274 x 219 mm,274,hoogte,millimeters
9710f729-049f-5d1a-a298-4ae1e56f1a9d,e22_Dimensions,274 x 219 mm,219,breedte,millimeters
ce605f59-404a-5c23-a8ce-8c954c9c8145,e22_Dimensions,274 x 212 mm,274,hoogte,millimeters
ce605f59-404a-5c23-a8ce-8c954c9c8145,e22_Dimensions,274 x 212 mm,212,breedte,millimeters
46e853d2-29f4-57b5-b107-bff761144d70,e22_Dimensions,280 x 217 mm,280,hoogte,millimeters
46e853d2-29f4-57b5-b107-bff761144d70,e22_Dimensions,280 x 217 mm,217,breedte,millimeters
d6a0a077-1ab3-5f47-a310-14e003d32cb5,e22_Dimensions,281 x 218 mm,281,hoogte,millimeters
d6a0a077-1ab3-5f47-a310-14e003d32cb5,e22_Dimensions,281 x 218 mm,218,breedte,millimeters
a39d2554-024b-53c7-8137-dd20a621aa6a,e22_Dimensions,180 x 205 mm,180,hoogte,millimeters
a39d2554-024b-53c7-8137-dd20a621aa6a,e22_Dimensions,180 x 205 mm,205,breedte,millimeters
453127f6-9b63-5d18-8c75-088d79912275,e22_Dimensions,264 x 171 mm,264,hoogte,millimeters
453127f6-9b63-5d18-8c75-088d79912275,e22_Dimensions,264 x 171 mm,171,breedte,millimeters
f0dd8933-0aa8-5ee4-9b3c-de811759b4fd,e22_Dimensions,242 x 215 mm,242,hoogte,millimeters
f0dd8933-0aa8-5ee4-9b3c-de811759b4fd,e22_Dimensions,242 x 215 mm,215,breedte,millimeters
532a1086-d22c-5e74-a33f-42e58c771728,e22_Dimensions,265 x 211 mm,265,hoogte,millimeters
532a1086-d22c-5e74-a33f-42e58c771728,e22_Dimensions,265 x 211 mm,211,breedte,millimeters
31db27b6-5bf3-51da-86c2-a4aafdbcce02,e22_Dimensions,274 x 216 mm,274,hoogte,millimeters
31db27b6-5bf3-51da-86c2-a4aafdbcce02,e22_Dimensions,274 x 216 mm,216,breedte,millimeters
791ce149-5c2b-528f-a863-80bc7c4c05ce,e22_Dimensions,273 x 216 mm,273,hoogte,millimeters
791ce149-5c2b-528f-a863-80bc7c4c05ce,e22_Dimensions,273 x 216 mm,216,breedte,millimeters
42d794a4-c4ab-5e7a-8e5d-7cc432c639b7,e22_Dimensions,273 x 212 mm,273,hoogte,millimeters
42d794a4-c4ab-5e7a-8e5d-7cc432c639b7,e22_Dimensions,273 x 212 mm,212,breedte,millimeters
ac173f3e-8686-522f-822f-65da8b62f45c,e22_Dimensions,278 x 214 mm,278,hoogte,millimeters
ac173f3e-8686-522f-822f-65da8b62f45c,e22_Dimensions,278 x 214 mm,214,breedte,millimeters
0ced21dc-67bf-5d73-8344-d7c3172d51d8,e22_Dimensions,181 x 218 mm,181,hoogte,millimeters
0ced21dc-67bf-5d73-8344-d7c3172d51d8,e22_Dimensions,181 x 218 mm,218,breedte,millimeters
50ceec1d-936b-5223-a228-891c37295e52,e22_Dimensions,333 x 211 mm,333,hoogte,millimeters
50ceec1d-936b-5223-a228-891c37295e52,e22_Dimensions,333 x 211 mm,211,breedte,millimeters
848c767a-5e09-568d-84ac-2171a43ef2ff,e22_Dimensions,216 x 178 mm,216,hoogte,millimeters
848c767a-5e09-568d-84ac-2171a43ef2ff,e22_Dimensions,216 x 178 mm,178,breedte,millimeters
6cac3c53-c74f-586c-91b3-26062c8dece5,e22_Dimensions,212 x 139 mm,212,hoogte,millimeters
6cac3c53-c74f-586c-91b3-26062c8dece5,e22_Dimensions,212 x 139 mm,139,breedte,millimeters
c368cca2-6db5-579f-8f53-6924337edd97,e22_Dimensions,124 x 180 mm,124,hoogte,millimeters
c368cca2-6db5-579f-8f53-6924337edd97,e22_Dimensions,124 x 180 mm,180,breedte,millimeters
6dbbc865-b9ab-5c4c-9434-6758f0a4d740,e22_Dimensions,146 x 211 mm,146,hoogte,millimeters
6dbbc865-b9ab-5c4c-9434-6758f0a4d740,e22_Dimensions,146 x 211 mm,211,breedte,millimeters
900a1849-6553-5eb7-9e73-81e9fdeadc30,e22_Dimensions,150 x 216 mm,150,hoogte,millimeters
900a1849-6553-5eb7-9e73-81e9fdeadc30,e22_Dimensions,150 x 216 mm,216,breedte,millimeters
55f324c7-820f-56ae-b6f5-923104d9831a,e22_Dimensions,209 x 139 mm,209,hoogte,millimeters
55f324c7-820f-56ae-b6f5-923104d9831a,e22_Dimensions,209 x 139 mm,139,breedte,millimeters
cf4c3a10-d582-5659-af09-9be8f581441c,e22_Dimensions,215 x 140 mm,215,hoogte,millimeters
cf4c3a10-d582-5659-af09-9be8f581441c,e22_Dimensions,215 x 140 mm,140,breedte,millimeters
c0a2fe20-85e6-5001-b89b-09a59490c24d,e22_Dimensions,173 x 263 mm,173,hoogte,millimeters
c0a2fe20-85e6-5001-b89b-09a59490c24d,e22_Dimensions,173 x 263 mm,263,breedte,millimeters
9ef7dfbb-91f4-565a-9778-06a6218e4f18,e22_Dimensions,148 x 223 mm,148,hoogte,millimeters
9ef7dfbb-91f4-565a-9778-06a6218e4f18,e22_Dimensions,148 x 223 mm,223,breedte,millimeters
da93969a-9b2d-57cb-b7a5-a5095b55d562,e22_Dimensions,200 x 235 mm,200,hoogte,millimeters
da93969a-9b2d-57cb-b7a5-a5095b55d562,e22_Dimensions,200 x 235 mm,235,breedte,millimeters
f33ccad8-05e0-52a9-8eaf-e1040b59ce33,e22_Dimensions,137 x 214 mm,137,hoogte,millimeters
f33ccad8-05e0-52a9-8eaf-e1040b59ce33,e22_Dimensions,137 x 214 mm,214,breedte,millimeters
f8bd3003-7f70-5219-8c4b-447da7801fef,e22_Dimensions,56 x 96 mm,56,hoogte,millimeters
f8bd3003-7f70-5219-8c4b-447da7801fef,e22_Dimensions,56 x 96 mm,96,breedte,millimeters
a689281c-ccfb-5b4d-b28c-f1bf3130c8ff,e22_Dimensions,95 x 62 mm,95,hoogte,millimeters
a689281c-ccfb-5b4d-b28c-f1bf3130c8ff,e22_Dimensions,95 x 62 mm,62,breedte,millimeters
4ce7b34b-d496-5ab6-b14d-b8dc7b1585c3,e22_Dimensions,116 x 74 mm,116,hoogte,millimeters
4ce7b34b-d496-5ab6-b14d-b8dc7b1585c3,e22_Dimensions,116 x 74 mm,74,breedte,millimeters
2cd221b1-3c8d-5832-a624-ea58153153fc,e22_Dimensions,291 x 112 mm,291,hoogte,millimeters
2cd221b1-3c8d-5832-a624-ea58153153fc,e22_Dimensions,291 x 112 mm,112,breedte,millimeters
2259aad3-ca05-5180-a684-1726b89be913,e22_Dimensions,249 x 177 mm,249,hoogte,millimeters
2259aad3-ca05-5180-a684-1726b89be913,e22_Dimensions,249 x 177 mm,177,breedte,millimeters
268e406e-6525-5782-b2da-0d76cc8657b3,e22_Dimensions,127 x 202 mm,127,hoogte,millimeters
268e406e-6525-5782-b2da-0d76cc8657b3,e22_Dimensions,127 x 202 mm,202,breedte,millimeters
1c48a847-afc7-5397-952e-1e29afa72022,e22_Dimensions,204 x 123 mm,204,hoogte,millimeters
1c48a847-afc7-5397-952e-1e29afa72022,e22_Dimensions,204 x 123 mm,123,breedte,millimeters
97ba37de-55f5-57ce-ad51-8119e6255eda,e22_Dimensions,150 x 100 mm,150,hoogte,millimeters
97ba37de-55f5-57ce-ad51-8119e6255eda,e22_Dimensions,150 x 100 mm,100,breedte,millimeters
0f9cccc8-1993-557c-b3cf-3ef70636c964,e22_Dimensions,133 x 87 mm,133,hoogte,millimeters
0f9cccc8-1993-557c-b3cf-3ef70636c964,e22_Dimensions,133 x 87 mm,87,breedte,millimeters
3da1ad01-5e06-55f2-ad24-7f20c2639d45,e22_Dimensions,223 x 186 mm,223,hoogte,millimeters
3da1ad01-5e06-55f2-ad24-7f20c2639d45,e22_Dimensions,223 x 186 mm,186,breedte,millimeters
7822590f-8f95-5a0c-8189-b382946f3e22,e22_Dimensions,77 x 101 mm,77,hoogte,millimeters
7822590f-8f95-5a0c-8189-b382946f3e22,e22_Dimensions,77 x 101 mm,101,breedte,millimeters
b3aeb7dc-2e3c-599d-ab86-ef631603d2af,e22_Dimensions,196 x 161 mm,196,hoogte,millimeters
b3aeb7dc-2e3c-599d-ab86-ef631603d2af,e22_Dimensions,196 x 161 mm,161,breedte,millimeters
6af047a7-8e0c-53e4-a773-805c838fd006,e22_Dimensions,211 x 137 mm,211,hoogte,millimeters
6af047a7-8e0c-53e4-a773-805c838fd006,e22_Dimensions,211 x 137 mm,137,breedte,millimeters
bdf471e1-748a-5f64-ba1d-67635bb191c4,e22_Dimensions,213 x 134 mm,213,hoogte,millimeters
bdf471e1-748a-5f64-ba1d-67635bb191c4,e22_Dimensions,213 x 134 mm,134,breedte,millimeters
6de1e553-ea7f-507f-ae24-cac06494070a,e22_Dimensions,134 x 102 mm,134,hoogte,millimeters
6de1e553-ea7f-507f-ae24-cac06494070a,e22_Dimensions,134 x 102 mm,102,breedte,millimeters
09052def-26e6-5d99-b79e-b030d0d496d1,e22_Dimensions,212 x 135 mm,212,hoogte,millimeters
09052def-26e6-5d99-b79e-b030d0d496d1,e22_Dimensions,212 x 135 mm,135,breedte,millimeters
aa06c6ad-619c-5b4c-b967-0d62f2ad0900,e22_Dimensions,135 x 211 mm,135,hoogte,millimeters
aa06c6ad-619c-5b4c-b967-0d62f2ad0900,e22_Dimensions,135 x 211 mm,211,breedte,millimeters
96240b4f-302d-587d-880e-d859f603eaec,e22_Dimensions,266 x 355 mm,266,hoogte,millimeters
96240b4f-302d-587d-880e-d859f603eaec,e22_Dimensions,266 x 355 mm,355,breedte,millimeters
7ddc9d0f-6eb7-5973-8f26-b5388322a64d,e22_Dimensions,178 x 226 mm,178,hoogte,millimeters
7ddc9d0f-6eb7-5973-8f26-b5388322a64d,e22_Dimensions,178 x 226 mm,226,breedte,millimeters
19a928ce-384c-5950-9f66-aff236631d53,e22_Dimensions,"137 x 211,2 mm",137,hoogte,millimeters
19a928ce-384c-5950-9f66-aff236631d53,e22_Dimensions,"137 x 211,2 mm","211,2",breedte,millimeters
0e868a89-1da8-534a-bcbd-be9849ce6df6,e22_Dimensions,133 x 123 mm,133,hoogte,millimeters
0e868a89-1da8-534a-bcbd-be9849ce6df6,e22_Dimensions,133 x 123 mm,123,breedte,millimeters
6f1864a9-eada-5f73-bea6-5483539a4ad0,e22_Dimensions,101 x 127 mm,101,hoogte,millimeters
6f1864a9-eada-5f73-bea6-5483539a4ad0,e22_Dimensions,101 x 127 mm,127,breedte,millimeters
9d19defb-127d-5313-b609-802cb7408c7a,e22_Dimensions,202 x 123 mm,202,hoogte,millimeters
9d19defb-127d-5313-b609-802cb7408c7a,e22_Dimensions,202 x 123 mm,123,breedte,millimeters
db466b6c-499e-5871-ae2f-7dab2a4de216,e22_Dimensions,115 x 182 mm,115,hoogte,millimeters
db466b6c-499e-5871-ae2f-7dab2a4de216,e22_Dimensions,115 x 182 mm,182,breedte,millimeters
5bed484c-6203-5738-ab11-d2a351f9c38b,e22_Dimensions,240 x 150 mm,240,hoogte,millimeters
5bed484c-6203-5738-ab11-d2a351f9c38b,e22_Dimensions,240 x 150 mm,150,breedte,millimeters
e207c16c-f087-5901-baf4-ea5791d0a1b3,e22_Dimensions,41 x 77 mm,41,hoogte,millimeters
e207c16c-f087-5901-baf4-ea5791d0a1b3,e22_Dimensions,41 x 77 mm,77,breedte,millimeters
85ae7137-f532-57c0-b555-7735245bd5bf,e22_Dimensions,95 x 125 mm,95,hoogte,millimeters
85ae7137-f532-57c0-b555-7735245bd5bf,e22_Dimensions,95 x 125 mm,125,breedte,millimeters
f2b51134-d1c1-5f3d-bab2-1e3839410334,e22_Dimensions,44 x 61 mm,44,hoogte,millimeters
f2b51134-d1c1-5f3d-bab2-1e3839410334,e22_Dimensions,44 x 61 mm,61,breedte,millimeters
4390c3da-4d2f-5dd2-9011-cb27126b8ed7,e22_Dimensions,125 x 75 mm,125,hoogte,millimeters
4390c3da-4d2f-5dd2-9011-cb27126b8ed7,e22_Dimensions,125 x 75 mm,75,breedte,millimeters
52af441f-67ff-5e97-95ef-82b0dfa5dc68,e22_Dimensions,84 x 183 mm,84,hoogte,millimeters
52af441f-67ff-5e97-95ef-82b0dfa5dc68,e22_Dimensions,84 x 183 mm,183,breedte,millimeters
8d15bf4d-1d74-5a90-ac6f-0536bc7905a2,e22_Dimensions,251 x 177 mm,251,hoogte,millimeters
8d15bf4d-1d74-5a90-ac6f-0536bc7905a2,e22_Dimensions,251 x 177 mm,177,breedte,millimeters
2a767980-91bf-5ec7-88d7-ff56d749e1e1,e22_Dimensions,226 x 166 mm,226,hoogte,millimeters
2a767980-91bf-5ec7-88d7-ff56d749e1e1,e22_Dimensions,226 x 166 mm,166,breedte,millimeters
99653bf6-4f4e-5041-9fee-8c23f9ea8143,e22_Dimensions,228 x 284 mm,228,hoogte,millimeters
99653bf6-4f4e-5041-9fee-8c23f9ea8143,e22_Dimensions,228 x 284 mm,284,breedte,millimeters
1ad7940d-d021-5cc9-8925-a3c6257b3437,e22_Dimensions,86 x 130 mm,86,hoogte,millimeters
1ad7940d-d021-5cc9-8925-a3c6257b3437,e22_Dimensions,86 x 130 mm,130,breedte,millimeters
abde6589-d151-54ed-a631-5ea1d31ec8ec,e22_Dimensions,210 x 271 mm,210,hoogte,millimeters
abde6589-d151-54ed-a631-5ea1d31ec8ec,e22_Dimensions,210 x 271 mm,271,breedte,millimeters
24eda292-f177-5ead-831d-19b9e518638b,e22_Dimensions,90 x 68 mm,90,hoogte,millimeters
24eda292-f177-5ead-831d-19b9e518638b,e22_Dimensions,90 x 68 mm,68,breedte,millimeters
c24c51bc-954c-51b8-943a-199225d8e520,e22_Dimensions,148 x 680 mm,148,hoogte,millimeters
c24c51bc-954c-51b8-943a-199225d8e520,e22_Dimensions,148 x 680 mm,680,breedte,millimeters
3299b50f-4034-5809-8a1f-7997997b6e2f,e22_Dimensions,288 x 217 mm,288,hoogte,millimeters
3299b50f-4034-5809-8a1f-7997997b6e2f,e22_Dimensions,288 x 217 mm,217,breedte,millimeters
24617713-e3c4-5f12-b314-aaa0bdb307bf,e22_Dimensions,53 x 90 mm,53,hoogte,millimeters
24617713-e3c4-5f12-b314-aaa0bdb307bf,e22_Dimensions,53 x 90 mm,90,breedte,millimeters
6b90b573-8ebe-51e0-acf5-7715d12dbcaf,e22_Dimensions,214 x 343 mm,214,hoogte,millimeters
6b90b573-8ebe-51e0-acf5-7715d12dbcaf,e22_Dimensions,214 x 343 mm,343,breedte,millimeters
70492b6b-e7eb-5977-85d1-5cb950f70548,e22_Dimensions,214 x 343 mm,214,hoogte,millimeters
70492b6b-e7eb-5977-85d1-5cb950f70548,e22_Dimensions,214 x 343 mm,343,breedte,millimeters
1225d2c6-ae14-534c-b23f-9bb9d81bf370,e22_Dimensions,214 x 343 mm,214,hoogte,millimeters
1225d2c6-ae14-534c-b23f-9bb9d81bf370,e22_Dimensions,214 x 343 mm,343,breedte,millimeters
3cae6da1-00c8-5157-958c-bed21e032939,e22_Dimensions,214 x 343 mm,214,hoogte,millimeters
3cae6da1-00c8-5157-958c-bed21e032939,e22_Dimensions,214 x 343 mm,343,breedte,millimeters
14f60fcf-e046-541d-b6b9-a0ea2fe4d7a9,e22_Dimensions,214 x 343 mm,214,hoogte,millimeters
14f60fcf-e046-541d-b6b9-a0ea2fe4d7a9,e22_Dimensions,214 x 343 mm,343,breedte,millimeters
c68a31e5-f476-5ff8-8953-265daa26d392,e22_Dimensions,214 x 343 mm,214,hoogte,millimeters
c68a31e5-f476-5ff8-8953-265daa26d392,e22_Dimensions,214 x 343 mm,343,breedte,millimeters
da27b447-e317-5c70-a413-a01ab52640c3,e22_Dimensions,268 x 412 mm,268,hoogte,millimeters
da27b447-e317-5c70-a413-a01ab52640c3,e22_Dimensions,268 x 412 mm,412,breedte,millimeters
f7cec6a7-819e-58e6-aa80-2aabe335a6d8,e22_Dimensions,230 x 300 mm,230,hoogte,millimeters
f7cec6a7-819e-58e6-aa80-2aabe335a6d8,e22_Dimensions,230 x 300 mm,300,breedte,millimeters
e58f89be-da92-5234-adda-204c9b4ab038,e22_Dimensions,245 x 370 mm,245,hoogte,millimeters
e58f89be-da92-5234-adda-204c9b4ab038,e22_Dimensions,245 x 370 mm,370,breedte,millimeters
bb130f45-0b3b-5079-a75c-985e785c815c,e22_Dimensions,216 x 288 mm,216,hoogte,millimeters
bb130f45-0b3b-5079-a75c-985e785c815c,e22_Dimensions,216 x 288 mm,288,breedte,millimeters
2f751964-6d01-58b3-b82d-76fabdac181e,e22_Dimensions,162 x 220 mm,162,hoogte,millimeters
2f751964-6d01-58b3-b82d-76fabdac181e,e22_Dimensions,162 x 220 mm,220,breedte,millimeters
d3868d11-8b8d-5408-aea7-07b014f4cc2f,e22_Dimensions,180 x 130 mm,180,hoogte,millimeters
d3868d11-8b8d-5408-aea7-07b014f4cc2f,e22_Dimensions,180 x 130 mm,130,breedte,millimeters
9d0d1c72-e334-572f-8c54-2611947cc798,e22_Dimensions,116 x 184 mm,116,hoogte,millimeters
9d0d1c72-e334-572f-8c54-2611947cc798,e22_Dimensions,116 x 184 mm,184,breedte,millimeters
34ea6dc7-8dd0-58b1-9b4f-1275ee51f67c,e22_Dimensions,54 x 94 mm,54,hoogte,millimeters
34ea6dc7-8dd0-58b1-9b4f-1275ee51f67c,e22_Dimensions,54 x 94 mm,94,breedte,millimeters
99261f7e-2bb0-5100-ba1f-eedeb67e816f,e22_Dimensions,359 x 462 mm,359,hoogte,millimeters
99261f7e-2bb0-5100-ba1f-eedeb67e816f,e22_Dimensions,359 x 462 mm,462,breedte,millimeters
3261420f-fa95-5253-80dc-107299b8b524,e22_Dimensions,327 x 437 mm,327,hoogte,millimeters
