ResourceID,card,source_value,Dimension Value,Dimension Type,Dimension Measurement Unit
b55f8960-5ee5-59fd-88f5-7a8c3c92e0b2,e22_Dimensions,104 x 164 mm,104,hoogte,millimeters
b55f8960-5ee5-59fd-88f5-7a8c3c92e0b2,e22_Dimensions,104 x 164 mm,164,breedte,millimeters
6bd190f4-1853-589f-9ca1-4cd9a512b277,e22_Dimensions,104 x 130 mm,104,hoogte,millimeters
6bd190f4-1853-589f-9ca1-4cd9a512b277,e22_Dimensions,104 x 130 mm,130,breedte,millimeters
f88733b4-7a74-5fa4-9d32-2e17575faa7b,e22_Dimensions,215 x 134 mm,215,hoogte,millimeters
f88733b4-7a74-5fa4-9d32-2e17575faa7b,e22_Dimensions,215 x 134 mm,134,breedte,millimeters
03e4637b-85a7-56bb-a14e-79f36c830407,e22_Dimensions,225 x 174 mm,225,hoogte,millimeters
03e4637b-85a7-56bb-a14e-79f36c830407,e22_Dimensions,225 x 174 mm,174,breedte,millimeters
52519509-91f6-51ff-b3f7-41a02116d2e7,e22_Dimensions,203 x 162 mm,203,hoogte,millimeters
52519509-91f6-51ff-b3f7-41a02116d2e7,e22_Dimensions,203 x 162 mm,162,breedte,millimeters
66461767-c6e9-5183-8ed0-53031e25ab9c,e22_Dimensions,105 x 139 mm,105,hoogte,millimeters
66461767-c6e9-5183-8ed0-53031e25ab9c,e22_Dimensions,105 x 139 mm,139,breedte,millimeters
43041bc9-a42e-59b2-9bca-dbabb16059b9,e22_Dimensions,271 x 208 mm,271,hoogte,millimeters
43041bc9-a42e-59b2-9bca-dbabb16059b9,e22_Dimensions,271 x 208 mm,208,breedte,millimeters
ec82374f-68ed-587e-89c7-8d657c97fad2,e22_Dimensions,261 x 196 mm,261,hoogte,millimeters
ec82374f-68ed-587e-89c7-8d657c97fad2,e22_Dimensions,261 x 196 mm,196,breedte,millimeters
39634300-2e08-57c7-86c1-c80ade0e45e4,e22_Dimensions,272 x 203 mm,272,hoogte,millimeters
39634300-2e08-57c7-86c1-c80ade0e45e4,e22_Dimensions,272 x 203 mm,203,breedte,millimeters
31283184-f32e-5752-acee-dfa5c3c2ffe0,e22_Dimensions,275 x 200 mm,275,hoogte,millimeters
31283184-f32e-5752-acee-dfa5c3c2ffe0,e22_Dimensions,275 x 200 mm,200,breedte,millimeters
82ddac49-d293-5ad1-b8b2-f47291aeeea2,e22_Dimensions,276 x 212 mm,276,hoogte,millimeters
82ddac49-d293-5ad1-b8b2-f47291aeeea2,e22_Dimensions,276 x 212 mm,212,breedte,millimeters
c32e2e17-6445-5129-9fa2-faf944ca4c3f,e22_Dimensions,146 x 219 mm,146,hoogte,millimeters
c32e2e17-6445-5129-9fa2-faf944ca4c3f,e22_Dimensions,146 x 219 mm,219,breedte,millimeters
ad3e5605-4fcb-57b3-99cf-4315b9fc8f11,e22_Dimensions,138 x 214 mm,138,hoogte,millimeters
ad3e5605-4fcb-57b3-99cf-4315b9fc8f11,e22_Dimensions,138 x 214 mm,214,breedte,millimeters
3bb41ecf-4b77-5b58-ba1d-857b2294033f,e22_Dimensions,58 x 95 mm,58,hoogte,millimeters
3bb41ecf-4b77-5b58-ba1d-857b2294033f,e22_Dimensions,58 x 95 mm,95,breedte,millimeters
cacfe543-304c-5905-9679-60c5fdf3537f,e22_Dimensions,110 x 217 mm,110,hoogte,millimeters
cacfe543-304c-5905-9679-60c5fdf3537f,e22_Dimensions,110 x 217 mm,217,breedte,millimeters
64f0f355-c885-5e6d-bbff-7a33eafcf2b0,e22_Dimensions,110 x 217 mm,110,hoogte,millimeters
64f0f355-c885-5e6d-bbff-7a33eafcf2b0,e22_Dimensions,110 x 217 mm,217,breedte,millimeters
ad6fc4d5-cbbb-5b4f-b012-9b2fad8fb07c,e22_Dimensions,116 x 241 mm,116,hoogte,millimeters
ad6fc4d5-cbbb-5b4f-b012-9b2fad8fb07c,e22_Dimensions,116 x 241 mm,241,breedte,millimeters
52713c0b-06fb-5d6d-9ce3-1942d28562eb,e22_Dimensions,360 x 233 mm,360,hoogte,millimeters
52713c0b-06fb-5d6d-9ce3-1942d28562eb,e22_Dimensions,360 x 233 mm,233,breedte,millimeters
b68a3c8f-ca33-5a1d-8cf9-44ac3241ba2a,e22_Dimensions,343 x 217 mm,343,hoogte,millimeters
b68a3c8f-ca33-5a1d-8cf9-44ac3241ba2a,e22_Dimensions,343 x 217 mm,217,breedte,millimeters
55732d1a-e5f9-5ffc-9bc5-97984bfefac1,e22_Dimensions,339 x 211 mm,339,hoogte,millimeters
55732d1a-e5f9-5ffc-9bc5-97984bfefac1,e22_Dimensions,339 x 211 mm,211,breedte,millimeters
4bc1f677-5dfb-5303-b2f5-cbffeb84c530,e22_Dimensions,45 x 83 mm,45,hoogte,millimeters
4bc1f677-5dfb-5303-b2f5-cbffeb84c530,e22_Dimensions,45 x 83 mm,83,breedte,millimeters
b0771155-f12c-5e03-8138-7b89dcef0d2c,e22_Dimensions,203 x 255 mm,203,hoogte,millimeters
b0771155-f12c-5e03-8138-7b89dcef0d2c,e22_Dimensions,203 x 255 mm,255,breedte,millimeters
926ae845-ce4c-53c4-834e-c655edd31184,e22_Dimensions,129 x 192 mm,129,hoogte,millimeters
926ae845-ce4c-53c4-834e-c655edd31184,e22_Dimensions,129 x 192 mm,192,breedte,millimeters
af8ff991-c2ca-5569-8728-ffec3363ebe3,e22_Dimensions,309 x 191 mm,309,hoogte,millimeters
af8ff991-c2ca-5569-8728-ffec3363ebe3,e22_Dimensions,309 x 191 mm,191,breedte,millimeters
7c720b83-9b7a-5caa-b0a2-8c4f03bda5bf,e22_Dimensions,345 x 430 mm,345,hoogte,millimeters
7c720b83-9b7a-5caa-b0a2-8c4f03bda5bf,e22_Dimensions,345 x 430 mm,430,breedte,millimeters
613e2555-cca9-5352-8b6c-194592251544,e22_Dimensions,340 x 211 mm,340,hoogte,millimeters
613e2555-cca9-5352-8b6c-194592251544,e22_Dimensions,340 x 211 mm,211,breedte,millimeters
c6003b5b-752b-55a3-a09b-3eacaecf40fc,e22_Dimensions,209 x 168 mm,209,hoogte,millimeters
c6003b5b-752b-55a3-a09b-3eacaecf40fc,e22_Dimensions,209 x 168 mm,168,breedte,millimeters
ebfe480f-d47c-5e85-8e4b-a392f93b56c6,e22_Dimensions,278 x 218 mm,278,hoogte,millimeters
ebfe480f-d47c-5e85-8e4b-a392f93b56c6,e22_Dimensions,278 x 218 mm,218,breedte,millimeters
e74e26e3-94de-55ef-ab62-8c1dc71facef,e22_Dimensions,276 x 214 mm,276,hoogte,millimeters
e74e26e3-94de-55ef-ab62-8c1dc71facef,e22_Dimensions,276 x 214 mm,214,breedte,millimeters
a7e666b1-8ab4-58dd-bd60-e36f1857c13c,e22_Dimensions,213 x 270 mm,213,hoogte,millimeters
a7e666b1-8ab4-58dd-bd60-e36f1857c13c,e22_Dimensions,213 x 270 mm,270,breedte,millimeters
6081eaf9-558c-5607-92dc-04d8aa5897a0,e22_Dimensions,213 x 270 mm,213,hoogte,millimeters
6081eaf9-558c-5607-92dc-04d8aa5897a0,e22_Dimensions,213 x 270 mm,270,breedte,millimeters
40826350-1b02-5180-ac0b-493757181ae6,e22_Dimensions,277 x 219 mm,277,hoogte,millimeters
40826350-1b02-5180-ac0b-493757181ae6,e22_Dimensions,277 x 219 mm,219,breedte,millimeters
16fdf550-a558-5c59-b552-9e20923211a7,e22_Dimensions,277 x 219 mm,277,hoogte,millimeters
16fdf550-a558-5c59-b552-9e20923211a7,e22_Dimensions,277 x 219 mm,219,breedte,millimeters
2881a1ec-803b-569d-90c9-02e840292404,e22_Dimensions,277 x 219 mm,277,hoogte,millimeters
2881a1ec-803b-569d-90c9-02e840292404,e22_Dimensions,277 x 219 mm,219,breedte,millimeters
200b78aa-59d1-5d48-a3e9-a9698441da3e,e22_Dimensions,277 x 219 mm,277,hoogte,millimeters
200b78aa-59d1-5d48-a3e9-a9698441da3e,e22_Dimensions,277 x 219 mm,219,breedte,millimeters
17adbd28-c62d-5c4a-91c2-e7973e7f0fd8,e22_Dimensions,278 x 219 mm,278,hoogte,millimeters
17adbd28-c62d-5c4a-91c2-e7973e7f0fd8,e22_Dimensions,278 x 219 mm,219,breedte,millimeters
16ea225c-79b9-5577-b04b-7c7734dcef32,e22_Dimensions,278 x 218 mm,278,hoogte,millimeters
16ea225c-79b9-5577-b04b-7c7734dcef32,e22_Dimensions,278 x 218 mm,218,breedte,millimeters
cd33b542-3106-54f0-8790-a0b54f937bdb,e22_Dimensions,278 x 219 mm,278,hoogte,millimeters
cd33b542-3106-54f0-8790-a0b54f937bdb,e22_Dimensions,278 x 219 mm,219,breedte,millimeters
bfc75250-e8b3-5d84-b94d-9379c1e099ff,e22_Dimensions,134 x 209 mm,134,hoogte,millimeters
bfc75250-e8b3-5d84-b94d-9379c1e099ff,e22_Dimensions,134 x 209 mm,209,breedte,millimeters
