ResourceID,card,source_field,Language
e76e0866-39a5-5fff-969d-855d05005a4d,e73_Languages,taal 1,French (language)
b69cc2df-8442-51a0-a796-7206b92e2201,e73_Languages,taal 1,French (language)
4028c865-2608-5574-a8ff-779529f18cbe,e73_Languages,taal 1,French (language)
0026923d-dfd2-5f6d-a4e2-b8f73b29ca20,e73_Languages,taal 1,French (language)
484623ef-fa84-59f8-aaf9-6dadbecc8f89,e73_Languages,taal 1,French (language)
1509a781-cb9d-5760-8b8f-607e96b7195c,e73_Languages,taal 1,French (language)
70605196-e141-5fb5-9962-2b1651f3e2a1,e73_Languages,taal 1,French (language)
11be8398-f75a-5694-b7b2-2b0eedf24850,e73_Languages,taal 1,French (language)
9e60796d-39b4-5c78-a699-b150df0da6ca,e73_Languages,taal 1,French (language)
b8a20dc0-1ed5-53cc-ad12-96498d66fe3d,e73_Languages,taal 1,French (language)
f4e49ea6-4484-51dd-93f6-ed1e84ddd978,e73_Languages,taal 1,French (language)
e7151ec4-bfbb-5ecd-bdde-c2a6f38860f0,e73_Languages,taal 1,French (language)
975f495e-f7bc-5fad-a859-5f17f3ef3684,e73_Languages,taal 1,French (language)
2d8258f1-a518-5920-8ca7-9eedc2fec6f3,e73_Languages,taal 1,Dutch (language)
bad7771a-af52-5c96-b542-662c29fb79d2,e73_Languages,taal 1,Dutch (language)
2a3ffdb3-8266-56f8-bd56-c576231952e9,e73_Languages,taal 1,Dutch (language)
dfd8430e-f99e-5696-aeb3-7536e33f6cf9,e73_Languages,taal 1,French (language)
b69aae14-ca78-53e2-aaec-fc1c967c1c4f,e73_Languages,taal 1,French (language)
ce0f7af4-da6d-5e66-aac0-e109583f47b2,e73_Languages,taal 1,Dutch (language)
1383d707-43bc-571d-919e-7f0dd9994e4f,e73_Languages,taal 1,Dutch (language)
ff62b6a8-4272-5068-98f5-9f0bf54f1803,e73_Languages,taal 1,Dutch (language)
27b8c2ea-6767-5148-9e61-f33309add541,e73_Languages,taal 1,Dutch (language)
a5c8f42a-18aa-5603-bfe4-e31872c63d32,e73_Languages,taal 1,Dutch (language)
1719c64c-fa7a-5d5f-bdc5-798537c2c9d6,e73_Languages,taal 1,Dutch (language)
a1fd1a6e-f524-5288-9021-ee6b2fc15c48,e73_Languages,taal 1,Dutch (language)
afd359bf-3a32-5753-94f3-603656881eab,e73_Languages,taal 1,French (language)
a186e0f7-a2b1-5c33-b76c-19874b8fa52c,e73_Languages,taal 1,Dutch (language)
299de83c-bbc7-527d-9297-04ee3a4e3eab,e73_Languages,taal 1,French (language)
e89f431c-7364-5c4a-a845-96c43fbb2673,e73_Languages,taal 1,Dutch (language)
b383199c-2d93-59eb-8855-fa86ec97811f,e73_Languages,taal 1,Dutch (language)
6355f5eb-9ad7-5f33-baf3-d86a14afcaf8,e73_Languages,taal 1,Dutch (language)
969cb11b-cb9b-5e7f-8942-b598386487cc,e73_Languages,taal 1,French (language)
493ac90b-fa10-50e3-b7ec-8daf6fcce287,e73_Languages,taal 1,Dutch (language)
8218acd3-4429-5d35-8f51-80631e753e87,e73_Languages,taal 1,Dutch (language)
451148b0-73dd-5072-a62c-7894d342d278,e73_Languages,taal 1,Dutch (language)
87b9b8a4-4859-52a1-8a7d-9d7f03b3e997,e73_Languages,taal 1,Dutch (language)
2f82e820-2bab-52cb-9dbf-5ef24a341dad,e73_Languages,taal 1,Dutch (language)
f888f3d5-80db-5b5f-94aa-5a3d43548e52,e73_Languages,taal 1,Dutch (language)
76a770c1-e2b5-51b0-ba7f-15687f461925,e73_Languages,taal 1,French (language)
a78ed738-c87c-5d9e-a725-b616e28f4bd4,e73_Languages,taal 1,French (language)
c328943a-46b9-5aca-9210-f61f26e379ec,e73_Languages,taal 1,French (language)
f0a19a94-019f-5ef5-836f-69f802b52d5c,e73_Languages,taal 1,French (language)
6c7ccc0d-5d67-5e6f-9fa4-b0973651bb16,e73_Languages,taal 1,French (language)
108756f8-64b4-506a-9f98-ceb3ef00390d,e73_Languages,taal 1,French (language)
c5a33844-8bfb-5e54-b6aa-d0281135b007,e73_Languages,taal 1,French (language)
25a4f489-f009-5fe5-9477-591efdb18ae3,e73_Languages,taal 1,French (language)
05df2589-1585-5594-bc8a-31b756a2b8f6,e73_Languages,taal 1,French (language)
0b0fc7f1-eb05-50c6-82d7-dfdafe7ae780,e73_Languages,taal 1,French (language)
270def31-7396-5780-8a48-ea5ea6d86ed8,e73_Languages,taal 1,French (language)
93e90445-472a-5e69-8889-bb123cb5d599,e73_Languages,taal 1,French (language)
313eef31-e6d3-5dbf-8b35-988507c8e01e,e73_Languages,taal 1,Dutch (language)
5cede916-f4cb-5135-8087-0f00e34b416b,e73_Languages,taal 1,Dutch (language)
74a758b8-f555-5531-96c8-e79a63a7b8d3,e73_Languages,taal 1,French (language)
29da2038-6f05-5285-942a-fb63293810e5,e73_Languages,taal 1,French (language)
a6219f25-033c-593f-90d8-efb505fc4bb8,e73_Languages,taal 1,French (language)
92dc80d1-5388-5313-93c1-582e99f23e9f,e73_Languages,taal 1,French (language)
4a36f5c4-24d5-5047-9ee5-3219e07c78b6,e73_Languages,taal 1,Dutch (language)
7a3ea516-bf4f-5143-aba7-213a091367fc,e73_Languages,taal 1,French (language)
22d8d29b-a2be-5a50-b646-5de42555bc3a,e73_Languages,taal 1,Dutch (language)
342b234e-b819-5020-afef-c997a40c8b3d,e73_Languages,taal 1,Dutch (language)
fc39d75e-5e3c-5ff5-a14e-8a07f133088e,e73_Languages,taal 1,French (language)
e268ae78-3bbc-57ae-9b11-ab6d7d7ac6ed,e73_Languages,taal 1,French (language)
6989ab5a-5e9a-589f-bc91-82ac9e23af82,e73_Languages,taal 1,French (language)
c29f2fa8-a5c2-5856-b7d1-a1bdbebdaf61,e73_Languages,taal 1,French (language)
239f6f57-5465-5c0a-a8f1-5e868780d35a,e73_Languages,taal 1,French (language)
