resourceinstanceidfrom,resourceinstanceidto,relationshiptype,datestarted,dateended,notes
22a58008-ac46-5798-818b-c310f25446e0,1c108418-fa08-5e1e-86ac-2e3d94778ecf,is related to,,,
04d48f6d-a553-56b5-92c6-bf6876ff1b4b,b1881c81-94eb-52c3-8c38-7d738f2508f1,is related to,,,
e687756a-1c8c-551e-b0fb-6c08b0ae577e,80edb321-1e94-5875-87a2-5572bdf754ac,is related to,,,
9e91f775-0904-5585-b362-570ab5b372a5,62ab83a9-a0f4-5082-8760-ed27c6343a58,is related to,,,
f4b540b0-7892-55b3-8543-47493244a9fa,2b3afced-37d6-550a-a269-cadc5e903793,is related to,,,
62f765f5-048a-5ea9-8e60-ea199cf30104,add6d4e6-72c0-59fb-ae1f-7b78f3fac968,is related to,,,
c1fbb556-4da2-5860-bf5b-55cd90bad767,bacee445-b518-5407-bd75-9170fd55d3f8,is related to,,,
ebd8f5f1-0bd8-5569-bba2-f5586eae54e0,3ad1b541-5b1f-5830-908c-0a7ebfd14bda,is related to,,,
f0945d29-66a8-52b3-83b6-f60afea3058b,92073088-e993-5cc3-83e0-66ab271c3247,is related to,,,
59ed0143-6353-5cd1-b3ac-c70971ae1d45,1621053a-516b-514c-b0d9-4d8861ea426c,is related to,,,
31d4b0dd-8efc-5e69-827b-d6e9e8a0a760,9612ddcd-3d2b-5378-a83f-0d62db605777,is related to,,,
8a51d5f2-25f9-52f0-9767-d4c03f4c903f,92754939-7be0-5442-b02e-100a05cbf04f,is related to,,,
42fd9d26-dffe-57ed-bf38-ca5dc95872d5,001c7f89-57f0-5582-a5b6-dbf51ef6b234,is related to,,,
edeeecd3-d98d-5a00-9064-7746287c1d7d,c5a1e43f-1b34-54f6-8e84-d16acc282b70,is related to,,,
d2c25645-7c82-5884-92c9-f67ce0942d9f,4470c075-0146-5d44-9e49-cbf82e51b71e,is related to,,,
55fa5db6-8779-5e5a-a460-7317f98d3231,ee67b215-c12e-5030-ac50-867ee49be7ec,is related to,,,
