ResourceID,card,source_field,Language
cdc2238a-bb75-5563-95b0-c8fd10288b1c,e73_Languages,taal 1,French (language)
97a23410-3c6f-5dc2-8f3f-6615bfcbbc0f,e73_Languages,taal 1,French (language)
880622da-d084-5086-bfd9-1c02532f5898,e73_Languages,taal 1,French (language)
ead18356-4451-5d74-b7da-1a2a23288625,e73_Languages,taal 1,French (language)
46b4d285-0acc-5415-a751-9ad3fb24246d,e73_Languages,taal 1,French (language)
97e33dbc-7d55-53e1-ac59-f18338944a33,e73_Languages,taal 1,French (language)
528b3328-2900-5880-98fa-15f34402e479,e73_Languages,taal 1,French (language)
842354d0-e967-56cb-ac2f-b15846f60c3c,e73_Languages,taal 1,French (language)
be1b49ba-639d-5df5-86dd-1ae3554bc41e,e73_Languages,taal 1,French (language)
d3badfc9-d911-586c-b934-b5cf745e33e0,e73_Languages,taal 1,French (language)
f9444421-69f1-5f84-b4de-81709dd1ad3a,e73_Languages,taal 1,French (language)
15ba2f17-7c39-576d-9624-8c2466ee53e3,e73_Languages,taal 1,French (language)
33488051-8dd5-50f6-a419-219ae1c03436,e73_Languages,taal 1,French (language)
d6d6d0bc-ad90-544f-ac68-cf55ea45d4a4,e73_Languages,taal 1,French (language)
edbbcd41-0cfc-5d1d-897a-3250066999a0,e73_Languages,taal 1,French (language)
8c20518f-4b96-5830-89f0-bca6ca8328c3,e73_Languages,taal 1,French (language)
2b5dbcef-e3e6-59aa-94ea-308d57b0ef2c,e73_Languages,taal 1,French (language)
ca6f1b8f-80ed-5de5-9906-79a999cf2155,e73_Languages,taal 1,French (language)
5d757215-d910-53b2-81cf-4d1518b3592d,e73_Languages,taal 1,French (language)
4e6358fd-11e3-5251-ab7d-90eea01d38c1,e73_Languages,taal 1,French (language)
12d7283a-bd25-5788-8e96-18afb55e0529,e73_Languages,taal 1,French (language)
66ffda5f-c3b3-5947-8924-6fee7751192f,e73_Languages,taal 1,French (language)
75c348f5-8141-5650-aff9-fa488aa048de,e73_Languages,taal 1,French (language)
052e6e88-8c3b-5624-9bb5-96f192471e83,e73_Languages,taal 1,French (language)
70cf22c0-d89d-5ac3-9670-3f354c523390,e73_Languages,taal 1,French (language)
ef441917-ec66-5dfb-81dc-38f0ecd4ce39,e73_Languages,taal 1,French (language)
1920c57b-9033-5162-88bd-b696bb6a5631,e73_Languages,taal 1,French (language)
9acf985d-752a-559c-a669-50b29525ad93,e73_Languages,taal 1,French (language)
0aeeb8af-8370-5206-9425-e6f0051df86b,e73_Languages,taal 1,French (language)
91348b3a-ac3e-54e1-8b68-e27fdaf9fd67,e73_Languages,taal 1,French (language)
cd051d07-5b27-57ae-9e1d-b4050f02ee1d,e73_Languages,taal 1,French (language)
a380cd2a-a437-5cee-afaf-bedd5f100314,e73_Languages,taal 1,French (language)
3d3aa8c3-74af-598c-b2ef-faf2f0b14ea6,e73_Languages,taal 1,French (language)
2b3ed7bc-2d9a-5387-8920-b577e2c1a1cc,e73_Languages,taal 1,French (language)
557d8927-2ab9-59a0-bc4b-007137dac68f,e73_Languages,taal 1,French (language)
974d8792-1798-5f8c-b991-eaf9f7744145,e73_Languages,taal 1,French (language)
86255b42-dc97-5e9f-86f6-b0ae1272c809,e73_Languages,taal 1,French (language)
f23677be-b95f-5e53-9ddd-5a8feca17c0e,e73_Languages,taal 1,French (language)
911f9409-234d-5510-b4a7-e1490de07ce7,e73_Languages,taal 1,French (language)
6e29b545-baaf-57e3-aeea-9f00c1246ea6,e73_Languages,taal 1,French (language)
1159ed28-44e0-546b-9e8d-db9d42823551,e73_Languages,taal 1,French (language)
1e96a0c0-803b-5770-a4d4-e695d1816068,e73_Languages,taal 1,French (language)
543ba60a-a479-5d5f-8f44-c940bf76c053,e73_Languages,taal 1,French (language)
f1e11d09-af0f-55b6-8e91-e34f192d5b3e,e73_Languages,taal 1,French (language)
075ddc49-40da-5149-ae64-2f29d2bd7da0,e73_Languages,taal 1,French (language)
dec16ab8-e817-51ef-8def-e0d37db8061c,e73_Languages,taal 1,Dutch (language)
acdfb538-8fdf-5a0a-a0b7-7b2cba15e105,e73_Languages,taal 1,French (language)
f2a2bd6d-c8d9-56f1-ae67-fc32d994cf78,e73_Languages,taal 1,French (language)
a9de1662-c83e-5b0c-907e-4faeb6345855,e73_Languages,taal 1,French (language)
d85566e5-6243-5c39-bd62-36d57526d1d8,e73_Languages,taal 1,French (language)
121425c2-ff79-537b-9978-e9a3c051f1bf,e73_Languages,taal 1,French (language)
e95cd2b2-ee51-58db-8285-2ede55414fe2,e73_Languages,taal 1,French (language)
39a2e9b3-e2b4-5b9b-87a4-dc5b5a97705d,e73_Languages,taal 1,French (language)
7ce2b95b-7a11-56c7-848e-74b04ce47a98,e73_Languages,taal 1,French (language)
f1f0531b-7203-5d73-b84c-ed8b4f0159c4,e73_Languages,taal 1,French (language)
d9cf7f48-8245-57d5-863f-fe58e1e932d8,e73_Languages,taal 1,French (language)
ea8d2bd4-55ad-591a-a421-fa6fca8bb4ab,e73_Languages,taal 1,French (language)
dd175a71-eec0-5da1-b768-58577b1607ef,e73_Languages,taal 1,French (language)
647985ab-2b07-55dc-93af-1acfb013edb4,e73_Languages,taal 1,French (language)
a60bb7db-f45b-53eb-beb2-229d7ff77387,e73_Languages,taal 1,French (language)
28a8e143-293c-5264-a153-ed30fbd7871d,e73_Languages,taal 1,French (language)
b92649c1-7a1c-53c7-9171-045352e3fb05,e73_Languages,taal 1,French (language)
037d03df-47bf-583f-bc64-f61fb89fbbab,e73_Languages,taal 1,French (language)
1cdb973d-1764-5c2a-bc7a-7715bbcaa339,e73_Languages,taal 1,French (language)
89c295dc-cb12-55f4-9dce-19bf9e4159e9,e73_Languages,taal 1,French (language)
7dd036cc-98c4-5043-9863-704f65844c4b,e73_Languages,taal 1,French (language)
b5d7dc0b-53a0-5193-b1c0-74b14840b9e4,e73_Languages,taal 1,Dutch (language)
6e68b574-4410-5062-80ed-538442f73529,e73_Languages,taal 1,French (language)
4e218205-00c7-507e-975e-ca3893223286,e73_Languages,taal 1,French (language)
bf67e9d1-ab1b-5f9a-980a-c841f6365fdf,e73_Languages,taal 1,Dutch (language)
bcc24e9a-65d6-509a-afa3-959c15d3d91b,e73_Languages,taal 1,Dutch (language)
08a5db7b-4608-537f-a2af-92940158cc88,e73_Languages,taal 1,French (language)
e191f7ae-e1c7-5f40-a240-ff87a2552deb,e73_Languages,taal 1,Dutch (language)
a53422e5-f057-5b55-a74e-5126040c707b,e73_Languages,taal 1,French (language)
fb7d4981-1044-54b9-bfa6-16f1152c340c,e73_Languages,taal 1,French (language)
0d0f47e4-90df-53b9-b79e-8596320c7d7f,e73_Languages,taal 1,Dutch (language)
6692f882-e4f5-53f5-b909-340c5a54639e,e73_Languages,taal 1,Dutch (language)
f1534e3e-a46a-559f-a811-2201470680b7,e73_Languages,taal 1,Dutch (language)
cceaeb57-fe73-52ad-8564-cf1e2d042d61,e73_Languages,taal 1,French (language)
2359d527-c390-5e83-93f2-ff3372529ecb,e73_Languages,taal 1,Dutch (language)
