resourceinstanceidfrom,resourceinstanceidto,relationshiptype,datestarted,dateended,notes
5ce4ac66-4c37-5678-8c75-753e55cbe92a,00599ee8-bb46-4c89-9a44-5a91025c790c,is related to,,,
462e5d5c-f041-523a-bbe1-df2c22b07980,006386e0-1d7a-4c95-846d-8f504599cf92,is related to,,,
17f25ed5-6056-57ae-b1f4-c602918fabca,008ea147-f27c-48a0-b2ae-e712db9700d1,is related to,,,
ded30abd-e3db-59db-a0e8-c924d1186ddf,00bc5a22-a7bc-4319-a51a-23e685a9c12a,is related to,,,
21332924-8d2c-5b51-8f67-ace102f24fe8,0147a897-9832-43d4-99db-2b259714c1ee,is related to,,,
818bea20-4d9f-5947-b181-a38cfc4ff1e9,016e6c25-0f1b-4bb0-a088-e69a5ad8e580,is related to,,,
b6397abe-2552-569a-8069-e209fc85f3c9,017982f6-97f8-4ca1-bf83-22aaf2ca45ac,is related to,,,
0b022a7f-5567-5ace-9602-59f6cfdb48d6,01c3ac51-4f42-41eb-b634-ba502f3aeff0,is related to,,,
5a96bf64-93a4-562b-ba95-6d85ba7e0fed,01efe831-d029-4929-a6bf-2e1632f65f3b,is related to,,,
3f58d414-7c76-5026-9749-4ae1cd18116f,01f5ffb9-b367-4d0e-be5c-a864ba9c80f1,is related to,,,
62a11643-e270-5164-b4f0-06dbe706d8bc,0200cbc6-4d0a-4198-88f9-ed5aeaad417a,is related to,,,
73b3e2a8-b8cf-5e87-ade0-22ea5a03a9ff,020e8d1a-b98e-4abd-92d1-2b6bdbc8e20f,is related to,,,
3f63286e-f4cc-53a0-a36a-18442d5566a0,025d91e7-84f7-40ec-9275-90c36cf2de0a,is related to,,,
5c8dcef5-723a-5695-b0cc-170db98e514f,02b62899-b3af-48e7-82a9-da0a444fee26,is related to,,,
d3f470c7-3a62-5ef2-badd-09000c133eee,02cec592-1eb6-4b81-9d8a-f6cc622a4b24,is related to,,,
6b8939a7-4b53-514f-8032-c7d4fea2dcf6,02e948f5-e7f6-4fb6-b646-c6390589e894,is related to,,,
d717cd45-3f49-58b3-93b5-048497b38029,0318aab2-1bc6-47d6-b3ad-f25d0aa80b65,is related to,,,
bb9657ac-9605-5fd4-b8f5-e7af1ea137e9,0321db53-4142-4cf5-a629-c3da5df224f9,is related to,,,
6bb2aaf6-0507-5916-926d-0508e8cc2321,035b48bc-aa7c-43e9-a711-1d85dc2eaaef,is related to,,,
