ResourceID,card,source_value,Dimension Value,Dimension Type,Dimension Measurement Unit
aa901457-d319-5707-82f0-6d6664aae111,e22_Dimensions,202 x 288 mm,202,hoogte,millimeters
aa901457-d319-5707-82f0-6d6664aae111,e22_Dimensions,202 x 288 mm,288,breedte,millimeters
89c086ae-dea1-57c1-864e-cba0dc1fbc8f,e22_Dimensions,211 x 264 mm,211,hoogte,millimeters
89c086ae-dea1-57c1-864e-cba0dc1fbc8f,e22_Dimensions,211 x 264 mm,264,breedte,millimeters
6058ac12-8ccc-5f78-ac7d-04e06094ff1b,e22_Dimensions,211 x 264 mm,211,hoogte,millimeters
6058ac12-8ccc-5f78-ac7d-04e06094ff1b,e22_Dimensions,211 x 264 mm,264,breedte,millimeters
e2cc6ac4-77cf-5ef4-ac96-6392bbd20e84,e22_Dimensions,211 x 264 mm,211,hoogte,millimeters
e2cc6ac4-77cf-5ef4-ac96-6392bbd20e84,e22_Dimensions,211 x 264 mm,264,breedte,millimeters
c4b2d2c7-8c46-551c-a7a0-68056a2e6a5f,e22_Dimensions,211 x 264 mm,211,hoogte,millimeters
c4b2d2c7-8c46-551c-a7a0-68056a2e6a5f,e22_Dimensions,211 x 264 mm,264,breedte,millimeters
bdebbf22-8cba-53d8-b061-91b121132463,e22_Dimensions,211 x 264 mm,211,hoogte,millimeters
bdebbf22-8cba-53d8-b061-91b121132463,e22_Dimensions,211 x 264 mm,264,breedte,millimeters
35b55d11-ef04-56ae-aadb-ba1cc68d2d17,e22_Dimensions,211 x 264 mm,211,hoogte,millimeters
35b55d11-ef04-56ae-aadb-ba1cc68d2d17,e22_Dimensions,211 x 264 mm,264,breedte,millimeters
a354aeff-1559-5ca2-b8f8-e6a27f1ae270,e22_Dimensions,211 x 264 mm,211,hoogte,millimeters
a354aeff-1559-5ca2-b8f8-e6a27f1ae270,e22_Dimensions,211 x 264 mm,264,breedte,millimeters
021df5ca-73c7-53b1-be94-f706e7de97ed,e22_Dimensions,211 x 264 mm,211,hoogte,millimeters
021df5ca-73c7-53b1-be94-f706e7de97ed,e22_Dimensions,211 x 264 mm,264,breedte,millimeters
cac4f6aa-9ae5-5293-a319-4056ac10e320,e22_Dimensions,211 x 264 mm,211,hoogte,millimeters
cac4f6aa-9ae5-5293-a319-4056ac10e320,e22_Dimensions,211 x 264 mm,264,breedte,millimeters
d1e773b7-7faa-5684-952b-d256d4026e22,e22_Dimensions,211 x 264 mm,211,hoogte,millimeters
d1e773b7-7faa-5684-952b-d256d4026e22,e22_Dimensions,211 x 264 mm,264,breedte,millimeters
287ab2f1-1e3e-523c-8ce2-6eb4dfc46c9b,e22_Dimensions,211 x 264 mm,211,hoogte,millimeters
287ab2f1-1e3e-523c-8ce2-6eb4dfc46c9b,e22_Dimensions,211 x 264 mm,264,breedte,millimeters
7953fcdc-c96d-5178-b6cd-3f96cd0f0e24,e22_Dimensions,211 x 264 mm,211,hoogte,millimeters
7953fcdc-c96d-5178-b6cd-3f96cd0f0e24,e22_Dimensions,211 x 264 mm,264,breedte,millimeters
317599d4-a3a1-5874-b430-d720f5e9cb97,e22_Dimensions,211 x 264 mm,211,hoogte,millimeters
317599d4-a3a1-5874-b430-d720f5e9cb97,e22_Dimensions,211 x 264 mm,264,breedte,millimeters
e4e0060b-ec49-5908-8fcd-da70137aec17,e22_Dimensions,211 x 264 mm,211,hoogte,millimeters
e4e0060b-ec49-5908-8fcd-da70137aec17,e22_Dimensions,211 x 264 mm,264,breedte,millimeters
292606a5-1be4-5872-bb12-380aca0a3397,e22_Dimensions,211 x 264 mm,211,hoogte,millimeters
292606a5-1be4-5872-bb12-380aca0a3397,e22_Dimensions,211 x 264 mm,264,breedte,millimeters
fafa34f9-fa2f-5a23-97fa-90308d228031,e22_Dimensions,211 x 264 mm,211,hoogte,millimeters
fafa34f9-fa2f-5a23-97fa-90308d228031,e22_Dimensions,211 x 264 mm,264,breedte,millimeters
44b787db-6025-590f-a670-526337c10576,e22_Dimensions,211 x 264 mm,211,hoogte,millimeters
44b787db-6025-590f-a670-526337c10576,e22_Dimensions,211 x 264 mm,264,breedte,millimeters
78f7334c-e93c-5795-bfdf-95ba8090a9d8,e22_Dimensions,211 x 264 mm,211,hoogte,millimeters
78f7334c-e93c-5795-bfdf-95ba8090a9d8,e22_Dimensions,211 x 264 mm,264,breedte,millimeters
